step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
20,0.00042,2e-05,347.67119398977445,9.999972452550219e-05,0.0009427201527190126,1.1846505556219317e-10,55.338688875056945,0.0005461503960035227,0.0005461503960035227,0.0005461503960035227,computed,,,p2db,p2db,p2db,327844.8275170069,0.10754900684795309,-0.1077042400850311,0.00019407018982868865,3.883817723924756e-05,-1.2244885735319196e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,347.67119398977445,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0005461503960035227,486.82493318617344,486.82493318617344,489.7249331861734
21,0.00044,2e-05,348.7168892070398,9.999969476975258e-05,0.001010930131134974,1.2703645141974743e-10,59.80552543790126,0.0005902346453284112,0.0005902346453284112,0.0005902346453284112,computed,,,p2db,p2db,p2db,327424.86636715295,0.10717073415533915,-0.10733707637139915,0.0002079358385389611,4.159491788369184e-05,-1.2954047338322307e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,348.7168892070398,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0005902346453284112,486.82493318617344,486.82493318617344,489.7249331861734
22,0.00046,2e-05,349.7395756878852,9.999966288403148e-05,0.0010822083855727804,1.3599339963517947e-10,64.49365351891512,0.0006365028721333839,0.0006365028721333839,0.0006365028721333839,computed,,,p2db,p2db,p2db,327013.29393912735,0.10681516231435272,-0.10699309934625238,0.0002224073391686696,4.4471677928992614e-05,-1.3706599894997332e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,349.7395756878852,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0006365028721333839,486.82493318617344,486.82493318617344,489.7249331861734
23,0.00048,2e-05,350.7409067729248,9.999962877158772e-05,0.0011566456746929814,1.4534730302989541e-10,69.41016080791086,0.0006850250264782714,0.0006850250264782714,0.0006850250264782714,computed,,,p2db,p2db,p2db,326609.49530835805,0.1064800614781641,-0.1066700923948095,0.00023750130685339186,4.747184167473935e-05,-1.4514667397814507e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,350.7409067729248,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0006850250264782714,486.82493318617344,486.82493318617344,489.7249331861734
24,0.0005,2e-05,351.72235301656013,9.999959233274183e-05,0.0012343343544944964,1.5510976493495117e-10,74.56228759360052,0.0007358725644569505,0.0007358725644569505,0.0007358725644569505,computed,,,p2db,p2db,p2db,326212.92347357114,0.10616349531005112,-0.10636613255918204,0.00025323455835742423,5.05988467541306e-05,-1.5375276222212727e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,351.72235301656013,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0007358725644569505,486.82493318617344,486.82493318617344,489.7249331861734
25,0.0005200000000000001,2e-05,352.6852292669111,9.999955346482959e-05,0.0013153684368974296,1.652925965357914e-10,79.95743212086865,0.0007891185010695154,0.0007891185010695154,0.0007891185010695154,computed,,,p2db,p2db,p2db,325823.08928914444,0.10586377386978271,-0.10607954342850139,0.00026962411555935353,5.3856186305628674e-05,-1.6294649482392594e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,352.6852292669111,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0007891185010695154,486.82493318617344,486.82493318617344,489.7249331861734
26,0.0005400000000000001,2e-05,353.63071683717106,9.999951206214418e-05,0.0013998436492313668,1.759078243296868e-10,85.60315581248,0.000844837461756526,0.000844837461756526,0.000844837461756526,computed,,,p2db,p2db,p2db,325439.55322144483,0.10557941530576287,-0.10580885683196652,0.0002866872104820348,5.724741116214266e-05,-1.7268837548695408e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,353.63071683717106,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.000844837461756526,486.82493318617344,486.82493318617344,489.7249331861734
27,0.0005600000000000002,2e-05,354.55988180353586,9.999946801587608e-05,0.0014878574818083063,1.8696769608470926e-10,91.50718839450145,0.0009031057329829899,0.0009031057329829899,0.0009031057329829899,computed,,,p2db,p2db,p2db,325061.91854486987,0.10530911444458531,-0.10555278143123394,0.000304441287973601,6.077613153469488e-05,-1.8302097212980276e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,354.55988180353586,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0009031057329829899,486.82493318617344,486.82493318617344,489.7249331861734
28,0.0005800000000000002,2e-05,355.4736902200342,9.999942121405526e-05,0.0015795091396553457,1.984846747540194e-10,97.67743296713982,0.00096400131228364,0.00096400131228364,0.00096400131228364,computed,,,p2db,p2db,p2db,324689.8256840406,0.10505171693291075,-0.10531017682693233,0.00032290405393792113,6.444601477095956e-05,-1.8548546199686784e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,355.4736902200342,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.00096400131228364,486.82493318617344,486.82493318617344,489.7249331861734
29,0.0006000000000000003,2e-05,356.3730208761833,9.999937154147936e-05,0.0016748999859199762,2.1047149417353794e-10,104.12197118803975,0.0010276039594181077,0.0010276039594181077,0.0010276039594181077,computed,,,p2db,p2db,p2db,324322.9474689302,0.104806197759842,-0.10508003222029778,0.000342093302748815,6.826080316272575e-05,-1.9608696959184328e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,356.3730208761833,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0010276039594181077,486.82493318617344,486.82493318617344,489.7249331861734
30,0.0006200000000000003,2e-05,357.25867601102016,9.999931887965836e-05,0.0017741329771124074,2.2294108807027899e-10,110.84906819385515,0.001093995244943056,0.001093995244943056,0.001093995244943056,computed,,,p2db,p2db,p2db,323960.9851513416,0.10457164329721771,-0.10486144824354006,0.00036202716115744444,7.222429059167086e-05,-2.0757565709697556e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,357.25867601102016,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.001093995244943056,486.82493318617344,486.82493318617344,489.7249331861734
31,0.0006400000000000004,2e-05,358.131390451671,9.999926310674558e-05,0.001877313129200977,2.359066486086272e-10,117.86717797369985,0.0011632586032440154,0.0011632586032440154,0.0011632586032440154,computed,,,p2db,p2db,p2db,323603.66500518617,0.10434723651445448,-0.10465362231186234,0.0003827239402717309,7.634034124386249e-05,-2.1983799998096356e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,358.131390451671,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0011632586032440154,486.82493318617344,486.82493318617344,489.7249331861734
32,0.0006600000000000004,2e-05,358.9918393674743,9.99992040974711e-05,0.001984547427799321,2.493816150784401e-10,125.18494851195383,0.0012354793832909335,0.0012354793832909335,0.0012354793832909335,computed,,,p2db,p2db,p2db,323250.7354431763,0.1041322441901798,-0.10445583579505681,0.00040420216065246495,8.061288561894375e-05,-2.329843486458547e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,358.9918393674743,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0012354793832909335,486.82493318617344,486.82493318617344,489.7249331861734
33,0.0006800000000000005,2e-05,359.84064495302715,9.999914172307298e-05,0.0020959448959548092,2.6337968238613193e-10,132.811227325744,0.0013107449032888625,0.0013107449032888625,0.0013107449032888625,computed,,,p2db,p2db,p2db,322901.96453045926,0.10392600645978096,-0.1042674435678074,0.0004264805657182439,8.504592295446688e-05,-2.4652626579675305e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,359.84064495302715,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0013107449032888625,486.82493318617344,486.82493318617344,489.7249331861734
34,0.0007000000000000005,2e-05,360.6783821135204,9.999907585122774e-05,0.0022116165897816714,2.7791480047697644e-10,140.7550664372949,0.0013891444997512449,0.0013891444997512449,0.0013891444997512449,computed,,,p2db,p2db,p2db,322557.1378722662,0.10372792714758818,-0.10408786432904249,0.00044957808142724305,8.964352071485265e-05,-2.6207419241209336e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,360.6783821135204,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0013891444997512449,486.82493318617344,486.82493318617344,489.7249331861734
35,0.0007200000000000006,2e-05,361.5055835508257,9.999900634597846e-05,0.0023316757318762593,2.930011910696166e-10,149.02572906723495,0.0014707695935577097,0.0014707695935577097,0.0014707695935577097,computed,,,p2db,p2db,p2db,322216.05671766837,0.10353746730596465,-0.10391657415437397,0.0004735138988638262,9.44098196407602e-05,-2.769186253066369e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,361.5055835508257,489.82493318617344,False,False,1e-12,False,,0,0,nan,,0,0,0,evap,,0.0014707695935577097,486.82493318617344,486.82493318617344,489.7249331861734
