idx,value
304,1.6387232988661413e-08
305,2.2180919883275594e-07
306,1.9094144173621684e-07
307,2.2591258254225173e-08
308,2.7740712775999179e-07
309,2.3364103095374168e-07
310,3.5399969513606328e-08
311,3.5664219030150932e-07
312,2.9222338471176078e-07
313,5.4697450657568242e-08
314,4.6107943528964415e-07
315,3.6704817938109199e-07
316,8.2236004524388063e-08
317,5.9784343618281389e-07
318,4.5668859100566953e-07
319,1.2926380196122906e-07
320,7.9766311111020335e-07
321,5.8177959870585255e-07
322,2.0487634765109967e-07
323,1.0787001558229117e-06
324,7.4125894601136374e-07
325,3.1224550411828582e-07
326,1.4586097577266152e-06
327,9.5035720345398469e-07
328,4.7452342907537226e-07
329,1.9726798652699870e-06
330,1.2354375997197167e-06
331,6.9585138619294979e-07
332,2.6540879415663918e-06
333,1.5638102440088162e-06
334,9.8934297038755359e-07
335,3.5185086480911567e-06
336,1.9927077648273358e-06
337,1.3531447799980999e-06
338,4.4298105694734965e-06
339,2.3742590396727776e-06
340,1.7193024015566136e-06
341,5.2208464450023800e-06
342,2.7872760677151199e-06
343,1.8543544919341996e-06
344,5.6080293553021623e-06
345,2.9441724278468108e-06
346,1.8026606996246838e-06
347,5.3826999268446173e-06
348,2.8305465211522024e-06
349,1.4784564754456190e-06
350,4.5997980942760799e-06
351,2.2998970429713666e-06
352,9.9459234507399113e-07
353,3.1147345745801412e-06
354,1.5573670490903599e-06
355,6.0099345262665902e-07
356,1.6621562682320526e-06
357,7.2719335172317833e-07
358,3.2405457590431881e-07
359,7.1885795382861766e-07
360,3.9210433745850416e-07
361,5.6383228307199444e-08
362,1.3644699850366736e-07
363,6.8223499213072791e-08
364,2.3611973737109757e-08
365,5.7140830627656219e-08
366,5.7140830623667230e-08
367,2.0720692006545388e-14
368,-1.8599143830981841e-08
369,-1.8599143831294035e-08
370,-7.5702367775399324e-09
371,-9.1599936243648054e-09
372,-2.1948901099260675e-20
373,1.2659227576292471e-15
374,3.1951014709375273e-39
375,1.6710878097075005e-09
376,1.8390391576611633e-10
377,2.2252349617758521e-10
378,2.2252349617754325e-10
379,-3.5401666417872421e-11
380,4.2836044329426070e-11
381,-1.2192119270864774e-24
382,-2.4489995589045523e-12
383,-2.9632918264099712e-12
384,-2.9632918264099938e-12
385,8.2141344119375207e-20
386,3.0092655381050560e-28
387,2.6726332358144285e-28
388,-3.5001361762594056e-14
389,-4.2351647362715017e-14
390,-8.4703294725430034e-14
391,-3.8240950619419058e-22
392,-2.1175823681357508e-14
393,-2.1175823681357508e-14
394,-7.0002428037496777e-14
395,-1.6940658945086007e-13
396,-8.4703294725431233e-14
397,-2.7756004581222907e-17
398,0.0000000000000000e+00
399,1.4176732221979222e-37
400,-1.2857073626974913e-09
401,-1.1237508328715277e-07
402,-1.1799413429116456e-06
403,-5.3474358610584014e-06
404,-1.4640504940236188e-05
405,-2.8689348390089065e-05
406,-4.4715731464321115e-05
407,-5.9472914964994417e-05
408,-7.0839057071421499e-05
409,-7.8164172207266356e-05
410,-8.1840219001510844e-05
411,-8.2730872566710457e-05
412,-8.1766200359267252e-05
413,-7.9740514480911275e-05
414,-7.7250859583940899e-05
415,-7.4707140434610109e-05
416,-7.2367886559275435e-05
417,-7.0377217738522329e-05
418,-6.5376172122395417e-05
419,-1.6260460854984805e-04
420,5.1110222621740558e-05
421,2.2435701491499493e-05
422,1.7475029726271487e+01
