# step_id=0
# t=0.000000000000e+00
# Ts=3.000000000000e+02
# mpp=0.000000000000e+00
# Rd=1.000000000000e-04
#
phase,r,T,Y_N2,Y_O2,Y_NC7H16,Y_NC12H26,Y_n-Dodecane
gas,9.303504153459e-04,9.000000000000e+02,7.900000000825e-01,2.099999999175e-01,0.000000000000e+00,0.000000000000e+00,
gas,9.904399115130e-04,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,2.711790022645e-62,2.100000000000e-01,
gas,1.056007164232e-03,9.000000000000e+02,7.899999996072e-01,3.928024846854e-10,2.100000000000e-01,0.000000000000e+00,
gas,1.127630577135e-03,9.000000000000e+02,7.900000000421e-01,2.099999999579e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.205955979809e-03,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,3.602076229157e-68,2.100000000000e-01,
gas,1.291705137189e-03,9.000000000000e+02,7.899999997994e-01,2.006048750105e-10,2.100000000000e-01,0.000000000000e+00,
gas,1.385685406682e-03,9.000000000000e+02,7.900000000205e-01,2.099999999795e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.488800707031e-03,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,8.852974277342e-75,2.100000000000e-01,
gas,1.602063987559e-03,9.000000000000e+02,7.899999999026e-01,9.743918930469e-11,2.100000000000e-01,0.000000000000e+00,
gas,1.726611415006e-03,9.000000000000e+02,7.900000000094e-01,2.099999999906e-01,0.000000000000e+00,0.000000000000e+00,
gas,1.863718528218e-03,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,3.157301378165e-82,2.100000000000e-01,
gas,2.014818649283e-03,9.000000000000e+02,7.899999999552e-01,4.481930844150e-11,2.100000000000e-01,0.000000000000e+00,
gas,2.181523884184e-03,9.000000000000e+02,7.900000000041e-01,2.099999999959e-01,0.000000000000e+00,0.000000000000e+00,
gas,2.365649097672e-03,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,1.232179953364e-90,2.100000000000e-01,
gas,2.569239307067e-03,9.000000000000e+02,7.899999999806e-01,1.942905620189e-11,2.100000000000e-01,0.000000000000e+00,
gas,2.794601009502e-03,9.000000000000e+02,7.900000000017e-01,2.099999999983e-01,0.000000000000e+00,0.000000000000e+00,
gas,3.044338038318e-03,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,3.789563118272e-100,2.100000000000e-01,
gas,3.321392638987e-03,9.000000000000e+02,7.899999999921e-01,7.895633753674e-12,2.100000000000e-01,0.000000000000e+00,
gas,3.629092565211e-03,9.000000000000e+02,7.900000000006e-01,2.099999999994e-01,0.000000000000e+00,0.000000000000e+00,
gas,3.971205124591e-03,9.000000000000e+02,7.900000000000e-01,0.000000000000e+00,6.264598617339e-111,2.100000000000e-01,
gas,4.351999253532e-03,9.000000000000e+02,7.899999999970e-01,2.990309074427e-12,2.100000000000e-01,0.000000000000e+00,
gas,4.776316876805e-03,9.000000000000e+02,7.900000000002e-01,2.099999999998e-01,0.000000000000e+00,0.000000000000e+00,
liq,7.589729384711e-06,3.000000000000e+02,,,,,0.000000000000e+00
liq,2.134553899991e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,3.257765992862e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,4.185295117684e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,4.959905855593e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,5.614134652991e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,6.172947007756e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,6.655663962431e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,7.077369524116e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,7.449946777642e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,7.782846618084e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.083662725742e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.358565325000e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.612631512114e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,8.850099550564e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,9.074567188250e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,9.289148841896e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,9.496602799171e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,9.699436981673e-05,3.000000000000e+02,,,,,0.000000000000e+00
liq,9.900000000000e-05,3.000000000000e+02,,,,,0.000000000000e+00
