step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
21,0.00044,2e-05,442.75196531652807,9.992923974641785e-05,0.13380679537567716,1.6790870044210186e-08,14365.59862005667,0.14177743518437375,0.14177743518437375,0.14177743518437375,computed,,,p2db,p2db,p2db,285324.9701967293,0.10045455242692704,-0.10856149670145993,0.012898218324708687,0.004791272613040081,1.437135718589111e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,442.75196531652807,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.14177743518437375,484.82493318617344,484.82493318617344,489.32493318617344
22,0.00046,2e-05,443.7319388507117,9.992479886293739e-05,0.13609888719534646,1.707697740336892e-08,15025.204001825017,0.14828723416555656,0.14828723416555656,0.14828723416555656,computed,,,p2db,p2db,p2db,284831.10475429305,0.09982268681141089,-0.10771884654691502,0.012760647642892807,0.004864486688367946,1.2190207307125056e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,443.7319388507117,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.14828723416555656,484.82493318617344,484.82493318617344,489.32493318617344
23,0.00048,2e-05,444.67935435859414,9.992028096152642e-05,0.13828792683824456,1.735007765747262e-08,15688.722621453995,0.15483565380166786,0.15483565380166786,0.15483565380166786,computed,,,p2db,p2db,p2db,284352.31524717313,0.09921096765912459,-0.10689028880698269,0.012613303041568406,0.0049339809018376455,9.91872656924686e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,444.67935435859414,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.15483565380166786,484.82493318617344,484.82493318617344,489.32493318617344
24,0.0005,2e-05,445.5962011851379,9.99156892284342e-05,0.14037887051472397,1.7610795940118982e-08,16355.85598724155,0.16141974820865088,0.16141974820865088,0.16141974820865088,computed,,,p2db,p2db,p2db,283887.7183175013,0.09861802218877436,-0.10607564169190771,0.012457572457347752,0.00499994820152589,4.7526885083720716e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,445.5962011851379,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.16141974820865088,484.82493318617344,484.82493318617344,489.32493318617344
25,0.0005200000000000001,2e-05,446.48430813636736,9.991102667466099e-05,0.1423773751981866,1.785984517680526e-08,17026.337116349172,0.16803688247075424,0.16803688247075424,0.16803688247075424,computed,,,p2db,p2db,p2db,283436.498931706,0.09804272265958305,-0.1052748814821691,0.01229476296308992,0.005062604469024374,-3.2852049813153483e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,446.48430813636736,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.16803688247075424,484.82493318617344,484.82493318617344,489.32493318617344
26,0.0005400000000000001,2e-05,447.3453444058988,9.99062961672519e-05,0.14428810360552086,1.809781343035706e-08,17699.915723940358,0.1746845864686934,0.1746845864686934,0.1746845864686934,computed,,,p2db,p2db,p2db,282997.91151585773,0.09748401598203507,-0.10448789673205736,0.01212600473773699,0.005122128429195257,-4.441480550530785e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,447.3453444058988,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.1746845864686934,484.82493318617344,484.82493318617344,489.32493318617344
27,0.0005600000000000002,2e-05,448.18085158809356,9.990150041856137e-05,0.14611601475632666,1.8325325794051157e-08,18376.368330674508,0.1813606546328597,0.1813606546328597,0.1813606546328597,computed,,,p2db,p2db,p2db,282571.2650922413,0.09694101340824714,-0.10371465392625862,0.011952348088139476,0.005178707662407472,-9.227947399270686e-11,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,448.18085158809356,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.1813606546328597,484.82493318617344,484.82493318617344,489.32493318617344
28,0.0005800000000000002,2e-05,448.9922396436527,9.989664201670343e-05,0.14786510812546524,1.8542886879129136e-08,19055.48225192348,0.18806298792917325,0.18806298792917325,0.18806298792917325,computed,,,p2db,p2db,p2db,282155.92656410043,0.09641282705020603,-0.10295498659801924,0.011774653481517103,0.005232494348680489,-4.149766025599022e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,448.9922396436527,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.18806298792917325,484.82493318617344,484.82493318617344,489.32493318617344
29,0.0006000000000000003,2e-05,449.7808200482969,9.989172340832978e-05,0.14953988339686236,1.8751063892589023e-08,19737.070975767598,0.1947897456281036,0.1947897456281036,0.1947897456281036,computed,,,p2db,p2db,p2db,281751.3048580709,0.09589872852373064,-0.10220883011574124,0.011593757848160548,0.005283657008971347,-7.528213902957548e-10,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,449.7808200482969,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.1947897456281036,484.82493318617344,484.82493318617344,489.32493318617344
30,0.0006200000000000003,2e-05,450.5478060618008,9.98867469116014e-05,0.15114441960930217,1.8950371140872872e-08,20420.964698979154,0.20153925190208888,0.20153925190208888,0.20153925190208888,computed,,,p2db,p2db,p2db,281356.85169493785,0.09539804027924297,-0.10147607832847577,0.011410384996627556,0.005332348052942271,-1.105547521584871e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,450.5478060618008,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.20153925190208888,484.82493318617344,484.82493318617344,489.32493318617344
31,0.0006400000000000004,2e-05,451.29432325628426,9.988171472289654e-05,0.15268256951283177,1.9141294411245766e-08,21107.01003776886,0.20830999297082517,0.20830999297082517,0.20830999297082517,computed,,,p2db,p2db,p2db,280972.0570147599,0.09491013940893904,-0.10075660538825856,0.011225175308956925,0.005378710798528332,-1.4688909307641884e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,451.29432325628426,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.20830999297082517,484.82493318617344,484.82493318617344,489.32493318617344
